by,descendants,id,kids,score,text,time,title,type,url
lynndotpy,42,30193997,"[30203991, 30194472, 30194790, 30194483, 30199312, 30195685, 30195275, 30194525, 30204150, 30202439, 30198667, 30195825, 30195696, 30200857, 30196531, 30196561, 30195930, 30194140]",210,"This is a little toy project of mine that lets you simulate digital logic graphs. It was inspired by Minecraft&#x27;s Redstone and the Piet esolang.<p>It&#x27;s got some serious drawbacks-- you write circuits as PNGs and simulate them with a Python interface. It&#x27;s slow to run and slow to experiment with. And it is certainly difficult to use for people with any kind of color blindness. But despite that, I hope this can still be a fun toy!",1643903745,Show HN: I made a little digital circuit simulator that operates on PNGs,story,https://github.com/lynnpepin/reso
shahahmed,76,30194440,"[30205821, 30204888, 30200291, 30200943, 30202335, 30201207, 30201528, 30200944, 30200388, 30201387, 30199714, 30204972, 30200834, 30202009, 30198834, 30200702, 30199786, 30200063, 30194814, 30202338, 30200970, 30202556, 30201515, 30194442]",153,"Our team is filled with technologists and creators, and when we record and edit videos, 80% of the time is spent chopping up the video, removing silences, and picking the right takes.  So we decided to build a tool that did that for you — or at least get you there most of the way!<p>Our initial implementation is somewhat naïve and uses a user configurable silence threshold that just reads in volume levels.  In the future, we’d like to use a frequency-based approach that focuses on the human voice.  We’re also open to ideas, so let us know if you have any!",1643905548,Show HN: Edit videos faster by automatically removing silences,story,https://www.kapwing.com/tools/smart-cut
vkoskiv,14,30167391,"[30200415, 30189488, 30167420, 30199174, 30168581, 30175764, 30199956, 30199767, 30169301, 30167408]",68,"Hello HN. This is a project me and some friends built at university in 2017. It was originally built in a rush, but we&#x27;ve added a few improvements over the years. It&#x27;s a fun game to host at a demoparty and project on a big screen - We did that at Instanssi many times. The implementation is still rough, and suffers from the fast pace of the modern web - The frontend is likely very outdated, and the backend is built with Vapor 2 and Swift 3.1, both no longer supported. You <i>can</i> host this yourself, but it might be a bit of a pain to set up. The WebSocket protocol is fairly trivial to work out and write a bot for to ruin the whole canvas, but I trust that the HN crowd can come up with clever things to draw with a script, should they choose to do so. The server is recording draw events into a log, and I will be posting a timelapse here in the comments after some time. Have fun!",1643742038,Show HN: A collaborative pixel drawing game for when you're bored,story,https://pixel.vkoskiv.com
ersatz_username,0,30163104,[30163111],43,"Visions is a python library for working with user defined data type systems. Out of the box, it provides type inference and automated data cleaning of sequence data with backend specific implementations for pandas, spark, python, and numpy. We often use it as a first pass cleaning step when working with tabular data and to simplify the backend logic of both pandas-profiling[1] and our tabular data compression library compressio[2].<p>Because data types are user defined, we can build user customizable libraries based around types without adding code complexity. In the case of compressio that means offering users the ability to use any compression algorithm they want by simply passing a dictionary mapping `{type: compression algorithm}` or defining new compression algorithms for otherwise unsupported data types like shapely geometries, images, etc.<p>We hope you like it and would really appreciate feedback about how to make the library more useful and easier to use.<p>P.S. If you&#x27;re interested in learning more about the project, the original paper is available on JOSS[3] you can also check out our Numpy Global 2020 talk[4]<p>1. <a href=""https:&#x2F;&#x2F;github.com&#x2F;pandas-profiling&#x2F;pandas-profiling"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;pandas-profiling&#x2F;pandas-profiling</a><p>2. <a href=""https:&#x2F;&#x2F;github.com&#x2F;dylan-profiler&#x2F;compressio"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;dylan-profiler&#x2F;compressio</a><p>3. <a href=""https:&#x2F;&#x2F;joss.theoj.org&#x2F;papers&#x2F;10.21105&#x2F;joss.02145"" rel=""nofollow"">https:&#x2F;&#x2F;joss.theoj.org&#x2F;papers&#x2F;10.21105&#x2F;joss.02145</a><p>4. <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=h2w99XIKizY"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=h2w99XIKizY</a>",1643726778,Show HN: Visions – User defined data type systems,story,https://github.com/dylan-profiler/visions
jmmv,23,30170526,"[30204806, 30192273, 30201353, 30192918, 30194211, 30193668, 30200606, 30175864]",61,None,1643754869,Show HN: I've built my own simple website analytics,story,https://jmmv.dev/2022/02/diy-web-analytics.html
statico,68,30181167,"[30183932, 30183936, 30183617, 30181195, 30184382, 30183806, 30187678, 30183885, 30186976, 30184444, 30183085, 30185225, 30183750, 30183738, 30184907, 30190232, 30183796, 30183866]",111,"For example, paste this into Slack or Discord or whatever: <a href=""https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30179549"" rel=""nofollow"">https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30179549</a><p>It works with comments, too: <a href=""https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30180253"" rel=""nofollow"">https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30180253</a><p>Hastily-developed source: <a href=""https:&#x2F;&#x2F;github.com&#x2F;statico&#x2F;ycombinator1.com"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;statico&#x2F;ycombinator1.com</a>",1643824378,Show HN: Add a “1” to your Hacker News URL to get fancy social previews,story,None
neetha,110,30192124,"[30192769, 30192550, 30192737, 30192318, 30204819, 30195850, 30193809, 30192400, 30195336, 30193843, 30203216, 30193321]",133,None,1643895066,Show HN: Veganize any recipe site with EatKind Chrome extension,story,https://chrome.google.com/webstore/detail/eatkind-for-chrome/ngojbbddpmckcgficlhojjcabamifdmi
kavehkhorram,54,30183465,"[30200215, 30200191, 30199704, 30199831, 30200113, 30200349, 30199856, 30200502, 30184768, 30200205, 30184585, 30184190, 30200422, 30199679, 30200423, 30199965, 30202991, 30199947, 30199820, 30200214]",116,"Hey HN: Kaveh here, the founder of https:&#x2F;&#x2F;www.usage.ai&#x2F;<p>We help companies drive down AWS EC2 spend. Why? Because the way it&#x27;s done now is a pain. DevOps and Software Engineers end up spending time managing costs rather than focusing on business problems.<p>Previous to founding Usage, I worked on high-performance computing research at JP Morgan Chase and as a software engineer at a number of smaller startups.<p>Here&#x27;s how it works: We are typically brought in by a DevOps manager to cut AWS EC2 costs. The app is entirely self-service and the savings are generated automatically, typically we do this live on a call. On average, we reduce AWS EC2 spend by 50% for 5 minutes of work.<p>To reduce by 50%+, we don&#x27;t touch the instances, require any code change, or change the performance of your instances. We buy Reserved Instances on your behalf (a billing layer change only) and bundle them with guaranteed buyback. So you get the steep 57% savings of 3-year no-upfront RIs with none of the commitment (you can sell them back to us anytime after 30 days).<p>We make money off of a 20% Savings Fee. Happy to chat directly kaveh@usage.ai<p>Have you experienced any issues with managing your company or organization&#x27;s AWS expenses? We&#x27;d love to hear your feedback and ideas!",1643833335,Show HN: I built a service to help companies reduce AWS spend by 50%,story,https://www.usage.ai/
markisus,1,30202551,[30203452],4,"Using my very primitive abilities with template metaprogramming, I put together a structure of arrays (SOA) class for C++.<p>The point of SOA is that it can be cache friendlier.",1643945850,Show HN: Hacking C++ to support Structure of Arrays,story,https://github.com/markisus/vapid-soa
AutumnMeowMeow,1,30200056,[30200104],10,None,1643928013,Show HN: Java TUI framework with sixel image support,story,https://gitlab.com/klamonte/jexer
